"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","66644542945","67421052000","9.66","34665562","","","/mutual-fund/holding-history/9509/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","61365368573.7","62696664000","8.99","43364687","600000","1.4","/mutual-fund/holding-history/9509/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","44943937845.3","44617370000","6.4","31400781","","","/mutual-fund/holding-history/9509/1127/"
"Larsen & Toubro Ltd","LT","500510","Industrials","42767556672.8","43646399000","6.26","11876248","650","0.01","/mutual-fund/holding-history/9509/800/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","31215196249.2","31011372000","4.45","16706913","380718","2.33","/mutual-fund/holding-history/9509/187/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","30765572409","30039898000","4.31","25197029","892821","3.67","/mutual-fund/holding-history/9509/140/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","30059707005","29054965000","4.16","2358549","","","/mutual-fund/holding-history/9509/842/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","27059006370","26573058000","3.81","2370478","-26405","-1.1","/mutual-fund/holding-history/9509/1443/"
"Infosys Ltd","INFY","500209","Technology","25125624147.6","24111897000","3.46","15429639","300000","1.98","/mutual-fund/holding-history/9509/630/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","18572278134.4","18949552000","2.72","11295632","477472","4.41","/mutual-fund/holding-history/9509/1316/"
"NTPC Ltd","NTPC","532555","Utilities","16012421247.7","16038840000","2.3","48034862","9563773","24.86","/mutual-fund/holding-history/9509/959/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","13826309108.9","13599716000","1.95","3155899","","","/mutual-fund/holding-history/9509/540/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","12134101458","12152341000","1.74","2279989","","","/mutual-fund/holding-history/9509/1784/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","10597052356.2","11157984000","1.6","16844782","","","/mutual-fund/holding-history/9509/4714/"
