"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","1003055792.4","935529000","0.62","899763","89776","11.08","/mutual-fund/holding-history/6830/709/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","934915683.4","904377000","0.6","325222","-253569","-43.81","/mutual-fund/holding-history/6830/1430/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","868405035.6","895873000","0.59","362379","362379","New","/mutual-fund/holding-history/6830/153/"
"CIE Automotive India Ltd","CIEINDIA","532756","Consumer Cyclical","889065920","884640000","0.59","1966960","","","/mutual-fund/holding-history/6830/816/"
"EPL Ltd Ordinary Shares","EPL","500135","Consumer Cyclical","846618490.15","874994000","0.58","3542485","-376324","-9.6","/mutual-fund/holding-history/6830/393/"
"PVR INOX Ltd","PVRINOX","532689","Communication Services","834530501.7","845776000","0.56","858438","","","/mutual-fund/holding-history/6830/1087/"
"SBI Cards and Payment Services Ltd Ordinary Shares","SBICARD","543066","Financial Services","895624506","842954000","0.56","915210","","","/mutual-fund/holding-history/6830/188792/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","905204799.4","832232000","0.55","730829","","","/mutual-fund/holding-history/6830/712/"
"TeamLease Services Ltd","TEAMLEASE","539658","Industrials","846322000","827576000","0.55","423161","","","/mutual-fund/holding-history/6830/1955/"
"UPL Ltd Ordinary Shares (Partly Paid Rs.1)","UPLPP1","890209","Basic Materials","839720980.8","805617000","0.53","1965639","","","/mutual-fund/holding-history/6830/2889731/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","872113934.98","802043000","0.53","3365546","3365546","New","/mutual-fund/holding-history/6830/589490/"
"Nirlon Ltd","","500307","Real Estate","772380972.3","796647000","0.53","1526143","-115476","-7.03","/mutual-fund/holding-history/6830/2067/"
"Rain Industries Ltd","RAIN","500339","Basic Materials","830967571.8","792762000","0.53","5618442","","","/mutual-fund/holding-history/6830/1091/"
"PNC Infratech Ltd","PNCINFRA","539150","Industrials","809834442","782885000","0.52","2681571","61235","2.34","/mutual-fund/holding-history/6830/1717/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","754335414","726022000","0.48","3593100","167415","4.89","/mutual-fund/holding-history/6830/412/"
"Life Insurance Corporation of India","LICI","543526","Financial Services","718398796.8","725122000","0.48","759728","759728","New","/mutual-fund/holding-history/6830/829878/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","690296825.4","713676000","0.47","621777","","","/mutual-fund/holding-history/6830/132/"
"Bajaj Electricals Ltd","BAJAJELEC","500031","Consumer Cyclical","711256462","711982000","0.47","1036817","","","/mutual-fund/holding-history/6830/146/"
"RHI Magnesita India Ltd","RHIM","534076","Industrials","745110201","711613000","0.47","1543630","13301","0.87","/mutual-fund/holding-history/6830/989/"
"Laxmi Organic Industries Ltd","LXCHEM","543277","Basic Materials","695600856.96","707779000","0.47","3469504","","","/mutual-fund/holding-history/6830/445357/"
"Gujarat Narmada Valley Fertilizers & Chemicals Ltd","GNFC","500670","Basic Materials","729483867","706333000","0.47","1319139","","","/mutual-fund/holding-history/6830/473/"
"Apollo Tyres Ltd","APOLLOTYRE","500877","Consumer Cyclical","659726400.9","692393000","0.46","1471454","","","/mutual-fund/holding-history/6830/94/"
"IRB Infrastructure Developers Ltd","IRB","532947","Industrials","659388733.4","687690000","0.46","13413115","2565503","23.65","/mutual-fund/holding-history/6830/644/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","693621760","681075000","0.45","833680","","","/mutual-fund/holding-history/6830/625/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","650987786.4","647757000","0.43","198206","-217914","-52.37","/mutual-fund/holding-history/6830/297/"
"Mold-tek Packaging Ltd","MOLDTKPAC","533080","Consumer Cyclical","674419746.7","641116000","0.42","958391","","","/mutual-fund/holding-history/6830/1577/"
"Gujarat Gas Ltd","GUJGASLTD","539336","Utilities","625888184.95","634019000","0.42","1378153","155099","12.68","/mutual-fund/holding-history/6830/515/"
"Mangalore Refinery and Petrochemicals Ltd","MRPL","500109","Energy","611899455.36","628838000","0.42","4365721","309298","7.62","/mutual-fund/holding-history/6830/885/"
