"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","2492136506.2","2498949000","0.48","1238698","","","/mutual-fund/holding-history/7818/147/"
"UPL Ltd","UPL","512070","Basic Materials","2450653215.2","2366603000","0.45","3769076","","","/mutual-fund/holding-history/7818/1455/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","2088306209","2221602000","0.42","8078554","","","/mutual-fund/holding-history/7818/755501/"
"Star Health and Allied Insurance Co Ltd","STARHEALTH","543412","Financial Services","1979840986.65","2164255000","0.41","4531047","350015","8.37","/mutual-fund/holding-history/7818/746520/"
"Bata India Ltd","BATAINDIA","500043","Consumer Cyclical","1925850559.8","2011147000","0.38","1591349","","","/mutual-fund/holding-history/7818/168/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","2120648770.8","2003028000","0.38","3161844","","","/mutual-fund/holding-history/7818/549/"
"Zee Entertainment Enterprises Ltd","ZEEL","505537","Communication Services","2115221897.32","1902926000","0.36","14590756","3216600","28.28","/mutual-fund/holding-history/7818/1537/"
"Wipro Ltd","WIPRO","507685","Technology","1812052465.9","1690008000","0.32","6768967","6768967","New","/mutual-fund/holding-history/7818/1526/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","1855375829.4","1658946000","0.32","1044282","","","/mutual-fund/holding-history/7818/338662/"
"Tata Chemicals Ltd","TATACHEM","500770","Basic Materials","1706697270.3","1645221000","0.31","1854501","325370","21.28","/mutual-fund/holding-history/7818/1355/"
"ACC Ltd","ACC","500410","Basic Materials","1608991900.8","1635044000","0.31","868411","","","/mutual-fund/holding-history/7818/22/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","1444218204","1522611000","0.29","298639","","","/mutual-fund/holding-history/7818/1878/"
"Galaxy Surfactants Ltd","GALAXYSURF","540935","Basic Materials","1740830914.5","1517379000","0.29","657985","","","/mutual-fund/holding-history/7818/74800/"
"TVS Holdings Ltd","TVSHLTD","520056","Consumer Cyclical","1296774180","1413596000","0.27","119145","","","/mutual-fund/holding-history/7818/1309/"
"Great Eastern Shipping Co Ltd","GESHIP","500620","Industrials","1477813335.45","1381697000","0.26","1484419","","","/mutual-fund/holding-history/7818/452/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","1374120000","1347968000","0.26","1650000","1150000","230","/mutual-fund/holding-history/7818/625/"
"Gateway Distriparks Ltd","GATEWAY","543489","Industrials","1182544759.26","1154643000","0.22","18117738","","","/mutual-fund/holding-history/7818/852172/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","1239820354.4","1140977000","0.22","1001956","","","/mutual-fund/holding-history/7818/712/"
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","906974166","920949000","0.18","1087499","68696","6.74","/mutual-fund/holding-history/7818/685/"
"PVR INOX Ltd","PVRINOX","532689","Communication Services","898350816.9","911816000","0.17","925467","","","/mutual-fund/holding-history/7818/1087/"
"Zydus Wellness Ltd","ZYDUSWELL","531335","Consumer Defensive","927080518.2","892999000","0.17","458089","-199810","-30.37","/mutual-fund/holding-history/7818/1550/"
"Coal India Ltd","COALINDIA","533278","Energy","882198307.5","892987000","0.17","2247639","","","/mutual-fund/holding-history/7818/275/"
"TTK Prestige Ltd","TTKPRESTIG","517506","Consumer Cyclical","680988747.6","678208000","0.13","1090629","37279","3.54","/mutual-fund/holding-history/7818/1421/"
"Gujarat Gas Ltd","GUJGASLTD","539336","Utilities","656622009","665006000","0.13","1445508","","","/mutual-fund/holding-history/7818/515/"
"UPL Ltd Ordinary Shares (Partly Paid Rs.1)","UPLPP1","890209","Basic Materials","385900440","370228000","0.07","903325","","","/mutual-fund/holding-history/7818/2889731/"
"V-Guard Industries Ltd","VGUARD","532953","Industrials","366323038.8","361323000","0.07","952478","577913","154.29","/mutual-fund/holding-history/7818/1476/"
