"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Ramco Cements Ltd","RAMCOCEM","500260","Basic Materials","1926876919.2","1810122000","0.58","1854728","1854728","New","/mutual-fund/holding-history/8084/1103/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","1660560000","1771220000","0.57","11000000","","","/mutual-fund/holding-history/8084/1366/"
"Timken India Ltd","TIMKEN","522113","Industrials","1820000000","1749776000","0.56","560000","","","/mutual-fund/holding-history/8084/1399/"
"Colgate-Palmolive (India) Ltd","COLPAL","500830","Consumer Defensive","1680000000","1719130000","0.55","700000","700000","New","/mutual-fund/holding-history/8084/276/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","1718451146.8","1613371000","0.52","1052908","","","/mutual-fund/holding-history/8084/209/"
"Neogen Chemicals Ltd","NEOGEN","542665","Basic Materials","1500008814.2","1571073000","0.5","935051","","","/mutual-fund/holding-history/8084/141845/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","1383094431","1461917000","0.47","477423","","","/mutual-fund/holding-history/8084/67548/"
"Hatsun Agro Product Ltd","HATSUN","531531","Consumer Defensive","1447513200","1458173000","0.47","1512000","","","/mutual-fund/holding-history/8084/524/"
"Ganesha Ecosphere Ltd","GANECOS","514167","Consumer Cyclical","1390672421.6","1428090000","0.46","930776","","","/mutual-fund/holding-history/8084/1563/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","1343160000","1336464000","0.43","720000","","","/mutual-fund/holding-history/8084/187/"
"Bank of India","BANKINDIA","532149","Financial Services","1193300000","1219400000","0.39","10000000","","","/mutual-fund/holding-history/8084/163/"
"Motherson Sumi Wiring India Ltd","MSUMI","543498","Consumer Cyclical","1217000000","1157600000","0.37","20000000","","","/mutual-fund/holding-history/8084/856676/"
"Wipro Ltd","WIPRO","507685","Technology","1046480000","998680000","0.32","4000000","","","/mutual-fund/holding-history/8084/1526/"
"MRF Ltd","MRF","500290","Consumer Cyclical","981218640","993162000","0.32","7152","","","/mutual-fund/holding-history/8084/883/"
"Gujarat State Petronet Ltd","GSPL","532702","Utilities","956466478.2","962762000","0.31","2928108","-136011","-4.44","/mutual-fund/holding-history/8084/502/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","996000000","953240000","0.3","4000000","4000000","New","/mutual-fund/holding-history/8084/589490/"
"Sheela Foam Ltd","SFL","540203","Consumer Cyclical","1066184820.2","904644000","0.29","1440401","","","/mutual-fund/holding-history/8084/4957/"
"Relaxo Footwears Ltd","RELAXO","530517","Consumer Cyclical","639607500","677428000","0.22","1550000","","","/mutual-fund/holding-history/8084/1125/"
"Jindal Stainless Ltd","JSL","532508","Basic Materials","647944148.7","624411000","0.2","968454","","","/mutual-fund/holding-history/8084/696/"
"Lemon Tree Hotels Ltd","LEMONTREE","541233","Consumer Cyclical","573482919.85","586619000","0.19","4210285","","","/mutual-fund/holding-history/8084/81513/"
"Finolex Industries Ltd","FINPIPE","500940","Industrials","321498866","302973000","0.1","1388764","","","/mutual-fund/holding-history/8084/417/"
"Privi Speciality Chemicals Ltd","PRIVISCL","530117","Basic Materials","221432925.6","205845000","0.07","89176","-281945","-75.97","/mutual-fund/holding-history/8084/1723/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","54606635","54462000","0.02","15725","-1129275","-98.63","/mutual-fund/holding-history/8084/1372/"
"Gayatri BioOrganics Ltd","","524564","Basic Materials","3386978","3419000","0","452200","","","/mutual-fund/holding-history/8084/3041/"
