"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","3055678608.5","3029163000","0.51","3899290","-1573000","-28.74","/mutual-fund/holding-history/7136/65394/"
"Nestle India Ltd","NESTLEIND","500790","Consumer Defensive","3037119953.7","3017350000","0.51","1259223","448585","55.34","/mutual-fund/holding-history/7136/930/"
"Tech Mahindra Ltd","TECHM","532755","Technology","3228875512.2","2975019000","0.5","1890221","","","/mutual-fund/holding-history/7136/1374/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","2987233079.4","2856003000","0.48","1745083","","","/mutual-fund/holding-history/7136/531/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","2916884575","2654633000","0.45","1042750","","","/mutual-fund/holding-history/7136/490/"
"NCC Ltd","NCC","500294","Industrials","2529264696.66","2576177000","0.43","11143117","","","/mutual-fund/holding-history/7136/918/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","2576826858","2537343000","0.43","1400145","-431250","-23.55","/mutual-fund/holding-history/7136/60957/"
"AIA Engineering Ltd","AIAENG","532683","Industrials","2357308094.1","2501632000","0.42","715181","32022","4.69","/mutual-fund/holding-history/7136/46/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","2425735377","2416739000","0.41","15783300","","","/mutual-fund/holding-history/7136/878/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","2568812520","2359061000","0.4","2071623","","","/mutual-fund/holding-history/7136/712/"
"CIE Automotive India Ltd","CIEINDIA","532756","Consumer Cyclical","2192527616.4","2188149000","0.37","4865256","234351","5.06","/mutual-fund/holding-history/7136/816/"
"Life Insurance Corporation of India","LICI","543526","Financial Services","2100117474","2118764000","0.36","2219880","","","/mutual-fund/holding-history/7136/829878/"
"Wipro Ltd","WIPRO","507685","Technology","2241579915","2092169000","0.35","8379738","","","/mutual-fund/holding-history/7136/1526/"
"ACC Ltd","ACC","500410","Basic Materials","1962563577.6","1994341000","0.34","1059242","","","/mutual-fund/holding-history/7136/22/"
"Gujarat Narmada Valley Fertilizers & Chemicals Ltd","GNFC","500670","Basic Materials","1928349076.5","1867996000","0.31","3488646","","","/mutual-fund/holding-history/7136/473/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","1804598400","1857984000","0.31","939895","","","/mutual-fund/holding-history/7136/1437/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","1820707474.95","1818900000","0.31","3286179","","","/mutual-fund/holding-history/7136/71/"
"Syngene International Ltd","SYNGENE","539268","Healthcare","1799077742.5","1810418000","0.3","2800121","","","/mutual-fund/holding-history/7136/1771/"
"Coal India Ltd","COALINDIA","533278","Energy","1736173829.95","1756735000","0.3","4421683","","","/mutual-fund/holding-history/7136/275/"
"Cognizant Technology Solutions Corp Class A","","","Technology","","1744551000","0.29","251999","31000","14.03",""
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","1685495160","1672364000","0.28","5252400","","","/mutual-fund/holding-history/7136/215/"
"Tata Chemicals Ltd","TATACHEM","500770","Basic Materials","1727927430.5","1663788000","0.28","1875430","139541","8.04","/mutual-fund/holding-history/7136/1355/"
"Nuvoco Vista Corp Ltd","NUVOCO","543334","Basic Materials","1554579730","1607822000","0.27","4493005","","","/mutual-fund/holding-history/7136/622855/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","1519587333","1537404000","0.26","541530","6430","1.2","/mutual-fund/holding-history/7136/1114/"
"IndiaMART InterMESH Ltd","INDIAMART","542726","Communication Services","1738339531.5","1532669000","0.26","657093","210880","47.26","/mutual-fund/holding-history/7136/149049/"
"Dabur India Ltd","DABUR","500096","Consumer Defensive","1414996948.35","1426814000","0.24","2954373","700000","31.05","/mutual-fund/holding-history/7136/303/"
"Zee Entertainment Enterprises Ltd","ZEEL","505537","Communication Services","1484701006.64","1335965000","0.22","10243556","4680187","84.13","/mutual-fund/holding-history/7136/1537/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","1334486450","1284091000","0.22","6355000","","","/mutual-fund/holding-history/7136/412/"
"POWERGRID Infrastructure Investment Trust Units","PGINVIT","543290","Utilities","1277964568.16","1146002000","0.19","13979048","","","/mutual-fund/holding-history/7136/481511/"
"Cipla Ltd","CIPLA","500087","Healthcare","1174836000","1143246000","0.19","780000","","","/mutual-fund/holding-history/7136/268/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","1149519000","1118940000","0.19","1876000","","","/mutual-fund/holding-history/7136/790/"
"Sun TV Network Ltd","SUNTV","532733","Communication Services","1055361908.25","1118419000","0.19","1776255","59875","3.49","/mutual-fund/holding-history/7136/1318/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","1034400000","1100000000","0.19","4000000","","","/mutual-fund/holding-history/7136/755501/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","933728243.4","1054394000","0.18","1938402","1141357","143.2","/mutual-fund/holding-history/7136/547977/"
"Biocon Ltd","BIOCON","532523","Healthcare","932505000","898399000","0.15","2675000","","","/mutual-fund/holding-history/7136/197/"
"Star Health and Allied Insurance Co Ltd","STARHEALTH","543412","Financial Services","798322106.5","873982000","0.15","1829755","490477","36.62","/mutual-fund/holding-history/7136/746520/"
"SKF India Ltd","SKFINDIA","500472","Industrials","841031537.2","836649000","0.14","178162","-2920","-1.61","/mutual-fund/holding-history/7136/1251/"
"LTIMindtree Ltd","LTIM","540005","Technology","843938784","785213000","0.13","154908","154908","New","/mutual-fund/holding-history/7136/4596/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","732428150","712907000","0.12","15371","","","/mutual-fund/holding-history/7136/994/"
"JSW Steel Ltd","JSWSTEEL","500228","Basic Materials","728212072.5","712190000","0.12","716850","","","/mutual-fund/holding-history/7136/699/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","769286826","685975000","0.12","555041","555041","New","/mutual-fund/holding-history/7136/1521/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","649583461.8","670186000","0.11","271089","271089","New","/mutual-fund/holding-history/7136/153/"
"UPL Ltd Ordinary Shares (Partly Paid Rs.1)","UPLPP1","890209","Basic Materials","667309041.6","640207000","0.11","1562053","","","/mutual-fund/holding-history/7136/2889731/"
"PVR INOX Ltd","PVRINOX","532689","Communication Services","573083607.45","581464000","0.1","590169","","","/mutual-fund/holding-history/7136/1087/"
"Cube Highways Trust","","543899","Industrials","504000000","558012000","0.09","4200000","","","/mutual-fund/holding-history/7136/1438523/"
"Chemplast Sanmar Ltd","CHEMPLASTS","543336","Basic Materials","548806888","536731000","0.09","1264532","","","/mutual-fund/holding-history/7136/623875/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","555049042.5","535703000","0.09","97215","","","/mutual-fund/holding-history/7136/220/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","557988060","523024000","0.09","175700","","","/mutual-fund/holding-history/7136/807/"
"Ingersoll-Rand (India) Ltd","INGERRAND","500210","Industrials","434588499.4","449287000","0.08","114649","","","/mutual-fund/holding-history/7136/631/"
"D B Corp Ltd","DBCORP","533151","Communication Services","486932750.5","443471000","0.07","1767451","","","/mutual-fund/holding-history/7136/308/"
"Energy Infrastructure Trust","","542543","Financial Services","426600000","442800000","0.07","5400000","-25000","-0.46","/mutual-fund/holding-history/7136/140624/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","448860180","415343000","0.07","1081200","","","/mutual-fund/holding-history/7136/629/"
"Indian Bank","INDIANB","532814","Financial Services","353439729.15","350569000","0.06","568551","-1281423","-69.27","/mutual-fund/holding-history/7136/609/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","349155450.2","308349000","0.05","176573","176573","New","/mutual-fund/holding-history/7136/962/"
"Rategain Travel Technologies Ltd","RATEGAIN","543417","Technology","294096874.5","298913000","0.05","673530","","","/mutual-fund/holding-history/7136/747240/"
"HeidelbergCement India Ltd","HEIDELBERG","500292","Basic Materials","244058855.95","240287000","0.04","1216705","","","/mutual-fund/holding-history/7136/536/"
"Entertainment Network (India) Ltd","ENIL","532700","Communication Services","238783172.02","238751000","0.04","1593694","","","/mutual-fund/holding-history/7136/381/"
"Laxmi Organic Industries Ltd","LXCHEM","543277","Basic Materials","218248759.49","221583000","0.04","1086193","1086193","New","/mutual-fund/holding-history/7136/445357/"
"Varroc Engineering Ltd Ordinary Shares","VARROC","541578","Consumer Cyclical","53848530","49733000","0.01","94075","94075","New","/mutual-fund/holding-history/7136/93226/"
"West Coast Paper Mills Ltd","WSTCSTPAPR","500444","Basic Materials","32409666.6","30652000","0.01","63786","63786","New","/mutual-fund/holding-history/7136/1530/"
"Vedant Fashions Ltd","MANYAVAR","543463","Consumer Cyclical","13739483","13745000","0","17239","17239","New","/mutual-fund/holding-history/7136/816269/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","5643718.71","5217000","0","21891","","","/mutual-fund/holding-history/7136/589490/"
