"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","1371991140","1346236219","1.1","2407002","","","/mutual-fund/holding-history/6421/77534/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","1278786462.5","1335820014","1.09","3249775","","","/mutual-fund/holding-history/6421/556/"
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","1308927794.1","1331699425","1.08","400909","","","/mutual-fund/holding-history/6421/387/"
"Bharat Electronics Ltd","BEL","500049","Industrials","1348615487.5","1295236650","1.05","3367750","","","/mutual-fund/holding-history/6421/175/"
"Marico Ltd","MARICO","531642","Consumer Defensive","1241550000","1289610000","1.05","1800000","","","/mutual-fund/holding-history/6421/840/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","1257748857.75","1267438757","1.03","1845695","","","/mutual-fund/holding-history/6421/293/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","1247490000","1238490000","1.01","180000","","","/mutual-fund/holding-history/6421/93/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","1219100000","1236100000","1.01","500000","","","/mutual-fund/holding-history/6421/153/"
"SKF India Ltd","SKFINDIA","500472","Industrials","1194157248","1212751392","0.99","258252","-2300","-0.88","/mutual-fund/holding-history/6421/1251/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","1252405606","1204363349","0.98","1837180","","","/mutual-fund/holding-history/6421/701/"
"REC Ltd","RECLTD","532955","Financial Services","1154482500","1186785000","0.97","2950000","-1000000","-25.32","/mutual-fund/holding-history/6421/1119/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","1149307970.5","1128884318","0.92","2938655","","","/mutual-fund/holding-history/6421/629/"
"ITC Hotels Ltd","ITCHOTELS","544325","Consumer Cyclical","1105546731.1","1124243439","0.92","5193530","","","/mutual-fund/holding-history/6421/2956218/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","1082786480","1106895280","0.9","75340","","","/mutual-fund/holding-history/6421/60393/"
"ACC Ltd","ACC","500410","Basic Materials","1053042160.9","1075374400","0.88","571157","","","/mutual-fund/holding-history/6421/22/"
"Godrej Properties Ltd","GODREJPROP","533150","Real Estate","1170470995.2","1067950073","0.87","475956","","","/mutual-fund/holding-history/6421/478/"
"SBI Cards and Payment Services Ltd Ordinary Shares","SBICARD","543066","Financial Services","1112942479.35","1053466595","0.86","1143767","","","/mutual-fund/holding-history/6421/188792/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","1031004880","1026156830","0.84","206300","","","/mutual-fund/holding-history/6421/80502/"
"Motherson Sumi Wiring India Ltd","MSUMI","543498","Consumer Cyclical","1056927135","1011156076","0.82","17469870","","","/mutual-fund/holding-history/6421/856676/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","1007437119","985381036","0.8","392457","","","/mutual-fund/holding-history/6421/49/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","936039405.3","968495564","0.79","943493","","","/mutual-fund/holding-history/6421/1313/"
"Container Corporation of India Ltd","CONCOR","531344","Industrials","901770865","948888680","0.77","1209700","","","/mutual-fund/holding-history/6421/279/"
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","912989500","930576250","0.76","895000","","","/mutual-fund/holding-history/6421/709/"
"IDFC First Bank Ltd","IDFCFIRSTB","539437","Financial Services","919620000","883610000","0.72","13000000","3000000","30","/mutual-fund/holding-history/6421/1786/"
"Devyani International Ltd","DEVYANI","543330","Consumer Cyclical","885291655.92","874387250","0.71","5217419","","","/mutual-fund/holding-history/6421/616664/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","865480000","864160000","0.7","2200000","","","/mutual-fund/holding-history/6421/1364/"
"Timken India Ltd","TIMKEN","522113","Industrials","812475000","781150000","0.64","250000","","","/mutual-fund/holding-history/6421/1399/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","793549605","750072028","0.61","745117","","","/mutual-fund/holding-history/6421/864/"
"Suzlon Energy Ltd","SUZLON","532667","Industrials","640800000","714800000","0.58","10000000","10000000","New","/mutual-fund/holding-history/6421/1337/"
