"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","4718650000","4527890000","1.23","19000000","","","/mutual-fund/holding-history/6337/589490/"
"One97 Communications Ltd","PAYTM","543396","Technology","4431108904.95","4478893000","1.22","5029921","","","/mutual-fund/holding-history/6337/712312/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","4332000000","4452480000","1.21","96000","","","/mutual-fund/holding-history/6337/994/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","4842600000","4448080000","1.21","2800000","","","/mutual-fund/holding-history/6337/338662/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","4223750000","4416880000","1.2","3100000","","","/mutual-fund/holding-history/6337/642/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","4137325164","4405629000","1.2","864103","","","/mutual-fund/holding-history/6337/1878/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","4570405000","4392185000","1.19","6700000","","","/mutual-fund/holding-history/6337/701/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","4264942115","4391361000","1.19","16900900","","","/mutual-fund/holding-history/6337/189/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","4130266400","4366555000","1.19","1426000","","","/mutual-fund/holding-history/6337/67548/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","4437821986.56","4350231000","1.18","34896768","","","/mutual-fund/holding-history/6337/2839786/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","4517031060","4314302000","1.17","2335590","","","/mutual-fund/holding-history/6337/2710663/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","4481815000","4281074000","1.16","1910000","","","/mutual-fund/holding-history/6337/67/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","4262310000","4248530000","1.15","1300000","","","/mutual-fund/holding-history/6337/297/"
