"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Jio Financial Services Ltd","JIOFIN","543940","Financial Services","1509222699","1427784000","0.14","4980933","","","/mutual-fund/holding-history/6094/1564869/"
"Glenmark Pharmaceuticals Ltd","GLENMARK","532296","Healthcare","1607021893.2","1372000000","0.14","941596","","","/mutual-fund/holding-history/6094/464/"
"Indraprastha Gas Ltd","IGL","532514","Utilities","1359036891.2","1343885000","0.13","6502880","","","/mutual-fund/holding-history/6094/596/"
"Bharti Airtel Ltd (Partly Paid Rs.1.25)","AIRTELPP","890157","Communication Services","1348534446.8","1268028000","0.13","904571","","","/mutual-fund/holding-history/6094/715100/"
"Ashok Leyland Ltd","ASHOKLEY","500477","Industrials","1290580708.04","1254389000","0.13","5314531","","","/mutual-fund/holding-history/6094/114/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","1337900000","1251200000","0.12","1000000","","","/mutual-fund/holding-history/6094/346/"
"Gujarat Industries Power Co Ltd","GIPCL","517300","Utilities","1259136270","1237055000","0.12","6327000","","","/mutual-fund/holding-history/6094/458/"
"Texmaco Rail & Engineering Ltd","TEXRAIL","533326","Industrials","1259113644","1163311000","0.12","7313200","","","/mutual-fund/holding-history/6094/1380/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","1223985808.5","1151264000","0.11","287665","","","/mutual-fund/holding-history/6094/53208/"
"Bosch Ltd","BOSCHLTD","500530","Consumer Cyclical","1147545140","1133830000","0.11","36092","","","/mutual-fund/holding-history/6094/214/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","1115784375","1096580000","0.11","159375","","","/mutual-fund/holding-history/6094/93/"
"Zee Entertainment Enterprises Ltd","ZEEL","505537","Communication Services","1182796348.5","1064231000","0.11","8160030","","","/mutual-fund/holding-history/6094/1537/"
"JSW Energy Ltd","JSWENERGY","533148","Utilities","1006281883.8","965425000","0.1","1978533","","","/mutual-fund/holding-history/6094/697/"
"Five-Star Business Finance Ltd","FIVESTAR","543663","Financial Services","1014727500","957488000","0.1","1350000","","","/mutual-fund/holding-history/6094/1114733/"
"Mphasis Ltd","MPHASIS","526299","Technology","972687706","908031000","0.09","354866","-86625","-19.62","/mutual-fund/holding-history/6094/881/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","951892375","900684000","0.09","1408750","","","/mutual-fund/holding-history/6094/1288/"
"ITC Hotels Ltd","ITCHOTELS","544325","Consumer Cyclical","918713778","897851000","0.09","4147692","","","/mutual-fund/holding-history/6094/2956218/"
"Aditya Birla Sun Life AMC Ltd","ABSLAMC","543374","Financial Services","922020691.5","894656000","0.09","1197585","","","/mutual-fund/holding-history/6094/674158/"
"SRF Ltd","SRF","503806","Industrials","859878000","798219000","0.08","279000","","","/mutual-fund/holding-history/6094/1283/"
